name,egn,unique_vote_id,city,day_of_birth,has_voted
Михаил,1500,1500,София,1922.04.12,0
Михаил,1510,1510,София,1924.04.12,0
Михаил,1520,1520,София,1927.04.12,0
Михаил,1530,1530,София,1928.04.12,0
Михаил,1540,1540,София,1929.04.12,0
Михаил,1550,1550,София,1920.04.12,0
Михаил,1560,1560,София,1921.04.12,0
Михаил,1570,1570,София,1922.04.12,0
Михаил,1580,1580,София,1923.04.12,0
Михаил,1590,1590,Варна,1924.04.12,0
Михаил,1600,1600,Варна,1925.04.12,0
Михаил,1610,1610,Варна,1926.04.12,0
Михаил,1620,1620,Варна,1927.04.12,0
